date,count,mean,sum
2015-09-01,40,17.664,706.56
2015-09-02,46,16.6684782609,766.75
2015-09-03,63,17.4420634921,1098.85
2015-09-04,80,17.65025,1412.02
2015-09-05,56,16.6980357143,935.09
2015-09-06,29,17.0165517241,493.48
2015-09-07,54,17.805,961.47
2015-09-08,40,18.43875,737.55
2015-09-09,44,17.8372727273,784.84
2015-09-10,51,17.2909803922,881.84
2015-09-11,51,17.2847058824,881.52
2015-09-12,58,17.4405172414,1011.55
2015-09-13,40,17.197,687.88
2015-09-14,52,17.9088461538,931.26
2015-09-15,37,18.0532432432,667.97
2015-09-16,52,17.5065384615,910.34
2015-09-17,49,18.6655102041,914.61
2015-09-18,70,17.828,1247.96
2015-09-19,55,17.484,961.62
2015-09-20,52,18.6278846154,968.65
2015-09-21,48,18.0620833333,866.98
2015-09-22,44,17.3254545455,762.32
2015-09-23,47,17.7017021277,831.98
2015-09-24,68,18.1075,1231.31
2015-09-25,75,17.8065333333,1335.49
2015-09-26,51,17.7123529412,903.33
2015-09-27,53,17.8505660377,946.08
2015-09-28,63,18.0412698413,1136.6
2015-09-29,47,18.0214893617,847.01
2015-09-30,65,18.2116923077,1183.76
