,date,count,mean,sum
0,2015-09-01,12,18.3183333333,219.82
1,2015-09-02,6,18.3266666667,109.96
2,2015-09-03,14,18.8742857143,264.24
3,2015-09-04,16,18.68125,298.9
4,2015-09-05,13,17.3530769231,225.59
5,2015-09-06,7,19.8885714286,139.22
6,2015-09-07,12,18.6,223.2
7,2015-09-08,9,22.9044444444,206.14
8,2015-09-09,14,21.9292857143,307.01
9,2015-09-10,12,19.9166666667,239.0
10,2015-09-11,14,18.9778571429,265.69
11,2015-09-12,16,16.039375,256.63
12,2015-09-13,12,16.5341666667,198.41
13,2015-09-14,16,19.534375,312.55
14,2015-09-15,13,20.8846153846,271.5
15,2015-09-16,18,17.2738888889,310.93
16,2015-09-17,12,18.7008333333,224.41
17,2015-09-18,13,19.2884615385,250.75
18,2015-09-19,11,18.1709090909,199.88
19,2015-09-20,16,16.675,266.8
20,2015-09-21,21,21.560952381,452.78
21,2015-09-22,16,17.78625,284.58
22,2015-09-23,7,15.6128571429,109.29
23,2015-09-24,12,13.53,162.36
24,2015-09-25,7,21.0,147.0
25,2015-09-26,17,18.0335294118,306.57
26,2015-09-27,15,18.048,270.72
27,2015-09-28,18,17.4238888889,313.63
28,2015-09-29,13,26.2015384615,340.62
29,2015-09-30,11,18.2909090909,201.2
