,date,count,mean,sum
0,2015-09-02,1,0.5,0.5
1,2015-09-04,2,0.0,0.0
2,2015-09-05,2,2.255,4.51
3,2015-09-07,2,4.15,8.3
4,2015-09-08,1,0.5,0.5
5,2015-09-09,6,1.41,8.46
6,2015-09-10,1,0.1,0.1
7,2015-09-11,2,3.45,6.9
8,2015-09-12,1,0.0,0.0
9,2015-09-13,1,0.0,0.0
10,2015-09-15,1,0.2,0.2
11,2015-09-17,1,1.2,1.2
12,2015-09-20,1,2.4,2.4
13,2015-09-21,2,1.65,3.3
14,2015-09-22,1,0.1,0.1
15,2015-09-23,1,0.0,0.0
16,2015-09-25,4,0.0975,0.39
17,2015-09-26,2,3.9,7.8
18,2015-09-27,1,0.56,0.56
19,2015-09-28,2,0.0,0.0
