,date,count,mean,sum
0,2015-09-01,8,14.28125,114.25
1,2015-09-02,22,14.78,325.16
2,2015-09-03,13,19.8361538462,257.87
3,2015-09-04,6,22.695,136.17
4,2015-09-05,15,15.266,228.99
5,2015-09-06,10,13.247,132.47
6,2015-09-07,4,17.0875,68.35
7,2015-09-08,13,13.0592307692,169.77
8,2015-09-09,14,18.6878571429,261.63
9,2015-09-10,15,13.528,202.92
10,2015-09-11,11,11.9163636364,131.08
11,2015-09-12,14,11.9928571429,167.9
12,2015-09-13,13,13.4053846154,174.27
13,2015-09-14,9,12.8977777778,116.08
14,2015-09-15,11,19.0990909091,210.09
15,2015-09-16,21,19.0252380952,399.53
16,2015-09-17,10,10.558,105.58
17,2015-09-18,20,13.9615,279.23
18,2015-09-19,16,21.40625,342.5
19,2015-09-20,20,15.488,309.76
20,2015-09-21,12,15.3,183.6
21,2015-09-22,11,15.8881818182,174.77
22,2015-09-23,9,19.2388888889,173.15
23,2015-09-24,13,16.1692307692,210.2
24,2015-09-25,16,14.534375,232.55
25,2015-09-26,13,17.0176923077,221.23
26,2015-09-27,13,12.01,156.13
27,2015-09-28,12,17.3525,208.23
28,2015-09-29,12,18.5275,222.33
29,2015-09-30,14,15.3742857143,215.24
