,lpep_pickup_datetime,Lpep_dropoff_datetime,RateCodeID,Pickup_longitude,Pickup_latitude,Passenger_count,Fare_amount,Tip_amount,Payment_type,Trip_type ,Trip_distance,date
47711,2015-09-02 07:40:17,2015-09-02 07:40:30,6,-73.9140319824,40.8085174561,1,2.5,0.0,2,1.0,0.5,2015-09-02
172938,2015-09-04 20:00:39,2015-09-04 20:00:44,6,-73.8436965942,40.7553062439,1,5.5,0.0,2,1.0,0.0,2015-09-04
172939,2015-09-04 20:00:39,2015-09-04 20:00:44,6,-73.8436965942,40.7553062439,1,-5.5,0.0,3,1.0,0.0,2015-09-04
216167,2015-09-05 14:08:19,2015-09-05 14:28:17,6,-73.9548873901,40.8097457886,1,2.5,0.0,2,1.0,3.1,2015-09-05
238916,2015-09-05 22:17:25,2015-09-05 22:23:30,6,-73.8306121826,40.759349823,1,3.5,0.0,2,1.0,1.41,2015-09-05
310791,2015-09-07 07:35:48,2015-09-07 07:36:07,6,-73.9006271362,40.8286056519,1,2.5,0.0,2,1.0,0.8,2015-09-07
316478,2015-09-07 12:40:24,2015-09-07 12:40:52,6,-73.9252243042,40.8613967896,1,2.5,0.0,2,1.0,7.5,2015-09-07
354185,2015-09-08 10:39:09,2015-09-08 10:42:56,6,-73.9173965454,40.8238296509,3,2.5,0.0,2,1.0,0.5,2015-09-08
386597,2015-09-09 01:14:15,2015-09-09 01:14:18,6,-73.8530654907,40.7445259094,1,2.5,0.0,3,1.0,0.0,2015-09-09
402498,2015-09-09 12:02:35,2015-09-09 12:02:51,6,-73.9499053955,40.8007087708,1,2.5,0.0,2,1.0,0.0,2015-09-09
404325,2015-09-09 13:35:36,2015-09-09 13:36:48,6,-73.9432144165,40.8311538696,2,2.5,0.0,3,1.0,0.6,2015-09-09
427659,2015-09-09 22:47:29,2015-09-09 22:47:46,6,-73.9750671387,40.6796722412,1,-5.5,0.0,3,1.0,0.03,2015-09-09
427736,2015-09-09 22:47:29,2015-09-09 22:47:46,6,-73.9750671387,40.6796722412,1,5.5,0.0,2,1.0,0.03,2015-09-09
431189,2015-09-09 23:07:53,2015-09-09 23:08:01,6,-73.9344482422,40.8445167542,1,2.5,0.0,3,1.0,7.8,2015-09-09
434981,2015-09-10 03:20:14,2015-09-10 03:20:49,6,-73.8986282349,40.8675575256,1,2.5,0.0,2,1.0,0.1,2015-09-10
489396,2015-09-11 04:58:33,2015-09-11 04:58:51,6,-73.9618530273,40.6780929565,2,3.5,0.0,3,1.0,2.8,2015-09-11
503876,2015-09-11 12:36:17,2015-09-11 12:36:30,6,-73.8990325928,40.8158302307,1,2.5,0.0,2,1.0,4.1,2015-09-11
558194,2015-09-12 07:19:24,2015-09-12 07:19:27,6,-73.8894577026,40.8531684875,1,2.5,0.0,2,1.0,0.0,2015-09-12
631383,2015-09-13 11:25:34,2015-09-13 11:25:55,6,-73.9078826904,40.8112983704,1,2.5,0.0,2,1.0,0.0,2015-09-13
721805,2015-09-15 14:45:23,2015-09-15 14:47:51,6,-73.9094390869,40.8122787476,2,2.5,0.0,2,1.0,0.2,2015-09-15
811247,2015-09-17 13:29:21,2015-09-17 13:35:28,6,-73.943939209,40.8251953125,1,2.5,0.0,2,1.0,1.2,2015-09-17
990253,2015-09-20 10:57:56,2015-09-20 10:58:02,6,-73.8908843994,40.8742179871,1,2.5,0.0,2,1.0,2.4,2015-09-20
1049444,2015-09-21 16:02:46,2015-09-21 16:02:48,6,-73.9553985596,40.8186340332,1,2.5,0.0,2,1.0,2.6,2015-09-21
1065877,2015-09-21 23:10:46,2015-09-21 23:11:03,6,-73.9141845703,40.8455238342,1,5.5,0.0,2,1.0,0.7,2015-09-21
1089251,2015-09-22 16:23:26,2015-09-22 16:23:43,6,-73.9378509521,40.8387413025,1,2.5,0.0,3,1.0,0.1,2015-09-22
1129435,2015-09-23 16:45:50,2015-09-23 16:45:50,6,-73.9608306885,40.8188018799,1,2.5,0.0,2,1.0,0.0,2015-09-23
1238848,2015-09-25 23:33:10,2015-09-25 23:33:24,6,-73.9868469238,40.6788635254,1,5.5,0.0,2,1.0,0.0,2015-09-25
1239190,2015-09-25 23:33:10,2015-09-25 23:33:24,6,-73.9868469238,40.6788635254,1,-5.5,0.0,4,1.0,0.0,2015-09-25
1239295,2015-09-25 23:35:04,2015-09-25 23:35:12,6,-73.9868164062,40.6788444519,1,2.5,0.0,2,1.0,0.0,2015-09-25
1241233,2015-09-25 23:36:08,2015-09-25 23:39:57,6,-73.9868087769,40.6788444519,1,3.5,0.0,2,1.0,0.39,2015-09-25
1265880,2015-09-26 11:48:29,2015-09-26 11:48:38,6,-73.9056091309,40.8310241699,1,2.5,0.0,2,1.0,5.2,2015-09-26
1295063,2015-09-26 20:06:59,2015-09-26 20:07:52,6,-73.9452972412,40.7181167603,1,2.5,0.0,4,1.0,2.6,2015-09-26
1312944,2015-09-27 01:24:44,2015-09-27 01:27:55,6,-73.9805984497,40.6763420105,1,3.5,0.0,2,1.0,0.56,2015-09-27
1380391,2015-09-28 13:40:08,2015-09-28 13:40:17,6,-73.9103546143,40.8316001892,1,5.5,0.0,2,1.0,0.0,2015-09-28
1380392,2015-09-28 13:40:08,2015-09-28 13:40:17,6,-73.9103546143,40.8316001892,1,-5.5,0.0,3,1.0,0.0,2015-09-28
