,lpep_pickup_datetime,Lpep_dropoff_datetime,RateCodeID,Pickup_longitude,Pickup_latitude,Passenger_count,Fare_amount,Tip_amount,Payment_type,Trip_type ,Trip_distance,date
3584,2015-09-01 05:41:25,2015-09-01 06:08:18,2,-73.9412765503,40.8429031372,1,52.0,8.0,1,1.0,20.06,2015-09-01
3625,2015-09-01 05:54:15,2015-09-01 06:17:19,2,-73.9476470947,40.7843704224,1,52.0,11.67,1,1.0,18.4,2015-09-01
4015,2015-09-01 06:19:36,2015-09-01 06:47:36,2,-73.9518814087,40.8012466431,1,52.0,11.67,1,1.0,17.83,2015-09-01
4348,2015-09-01 06:40:08,2015-09-01 07:06:38,2,-73.9396591187,40.8161735535,2,52.0,11.65,1,1.0,17.8,2015-09-01
5286,2015-09-01 07:11:40,2015-09-01 07:39:14,2,-73.947883606,40.8013420105,1,52.0,11.67,1,1.0,17.19,2015-09-01
7060,2015-09-01 08:26:12,2015-09-01 09:05:16,2,-73.963684082,40.8028106689,1,52.0,5.0,1,1.0,18.67,2015-09-01
7686,2015-09-01 08:44:51,2015-09-01 09:35:58,2,-73.9479827881,40.8301887512,1,52.0,11.65,1,1.0,27.7,2015-09-01
9657,2015-09-01 09:47:22,2015-09-01 10:17:52,2,-73.952835083,40.8108139038,1,52.0,5.0,1,1.0,17.58,2015-09-01
10001,2015-09-01 09:40:09,2015-09-01 10:04:25,2,-73.9347839355,40.8281173706,1,52.0,6.0,1,1.0,19.1,2015-09-01
10797,2015-09-01 10:01:15,2015-09-01 10:35:05,2,-73.9542007446,40.8059959412,1,52.0,11.67,1,1.0,17.51,2015-09-01
12749,2015-09-01 11:06:44,2015-09-01 11:36:03,2,-73.9385147095,40.7916374207,2,52.0,11.67,1,1.0,18.1,2015-09-01
13468,2015-09-01 11:33:33,2015-09-01 12:13:02,2,-73.9515686035,40.7861366272,1,52.0,10.0,1,1.0,18.02,2015-09-01
14644,2015-09-01 12:40:36,2015-09-01 12:40:52,2,-73.7901153564,40.6435966492,1,52.0,13.2,1,1.0,0.0,2015-09-01
15260,2015-09-01 12:23:19,2015-09-01 13:07:52,2,-73.9618606567,40.81067276,1,52.0,15.0,1,1.0,18.84,2015-09-01
16660,2015-09-01 13:17:49,2015-09-01 13:56:23,2,-73.9424667358,40.8409957886,1,52.0,11.67,1,1.0,20.99,2015-09-01
17110,2015-09-01 13:33:10,2015-09-01 14:13:40,2,-73.9434814453,40.7943916321,1,52.0,11.67,1,1.0,16.79,2015-09-01
