,lpep_pickup_datetime,Lpep_dropoff_datetime,RateCodeID,Pickup_longitude,Pickup_latitude,Passenger_count,Fare_amount,Tip_amount,Payment_type,Trip_type ,Trip_distance,date
11767,2015-09-01 10:44:24,2015-09-01 11:13:19,4,-73.8295211792,40.7597732544,1,27.5,5.66,1,1.0,6.7,2015-09-01
18561,2015-09-01 14:22:37,2015-09-01 14:47:55,4,-73.8298568726,40.7595901489,1,32.5,6.66,1,1.0,10.16,2015-09-01
31345,2015-09-01 19:39:41,2015-09-01 20:00:30,4,-73.8440856934,40.7211112976,1,39.0,8.16,1,1.0,11.5,2015-09-01
31530,2015-09-01 19:26:44,2015-09-01 20:12:43,4,-73.8453521729,40.7548408508,1,94.5,10.0,1,1.0,25.85,2015-09-01
31581,2015-09-01 19:29:57,2015-09-01 20:15:06,4,-73.8304214478,40.7595481873,1,73.0,5.0,1,1.0,18.22,2015-09-01
36646,2015-09-01 21:41:54,2015-09-01 22:13:20,4,-73.8453369141,40.7550163269,1,45.0,12.0,1,1.0,14.36,2015-09-01
36685,2015-09-01 21:47:27,2015-09-01 22:12:42,4,-73.8452987671,40.7547073364,2,40.5,11.84,1,1.0,12.43,2015-09-01
37729,2015-09-01 22:02:23,2015-09-01 22:28:31,4,-73.8453216553,40.7546195984,2,54.0,6.0,1,1.0,15.03,2015-09-01
44846,2015-09-02 03:54:51,2015-09-02 04:16:13,4,-73.9108657837,40.7760505676,1,40.0,3.16,1,1.0,12.94,2015-09-02
45732,2015-09-02 05:34:04,2015-09-02 05:46:23,4,-73.9844665527,40.6955223083,1,17.0,3.65,1,1.0,5.1,2015-09-02
45839,2015-09-02 06:02:58,2015-09-02 06:24:57,4,-73.8441238403,40.7213287354,1,67.0,13.56,1,1.0,17.54,2015-09-02
46661,2015-09-02 07:01:28,2015-09-02 07:25:27,4,-73.8075408936,40.7002830505,3,44.5,9.06,1,1.0,13.36,2015-09-02
47508,2015-09-02 07:34:29,2015-09-02 07:56:27,4,-73.9421844482,40.8416786194,1,58.0,3.0,1,1.0,14.23,2015-09-02
47550,2015-09-02 07:40:14,2015-09-02 08:28:46,4,-73.9033203125,40.7457885742,1,71.5,5.0,1,1.0,20.46,2015-09-02
49030,2015-09-02 08:21:03,2015-09-02 09:00:21,4,-73.8077011108,40.7003440857,1,113.5,22.86,1,1.0,25.97,2015-09-02
49571,2015-09-02 08:40:32,2015-09-02 09:31:54,4,-73.8075561523,40.7002563477,1,101.0,20.36,1,1.0,22.95,2015-09-02
