,lpep_pickup_datetime,Lpep_dropoff_datetime,RateCodeID,Pickup_longitude,Pickup_latitude,Passenger_count,Fare_amount,Tip_amount,Payment_type,Trip_type ,Trip_distance,date
93718,2015-09-03 08:25:08,2015-09-03 08:57:12,3,-73.9542007446,40.8214149475,1,85.0,0.15,1,1.0,25.82,2015-09-03
109222,2015-09-03 15:50:55,2015-09-03 15:51:00,3,-73.9744033813,40.6430664062,1,20.0,4.05,1,1.0,4.4,2015-09-03
139419,2015-09-04 04:20:06,2015-09-04 04:20:20,3,-73.9123535156,40.7772369385,1,20.0,1.0,1,1.0,0.0,2015-09-04
307483,2015-09-07 03:32:19,2015-09-07 03:32:25,3,-73.9505157471,40.6695556641,1,20.0,0.5,1,1.0,1.3,2015-09-07
461741,2015-09-10 17:24:45,2015-09-10 17:44:26,3,-73.8304367065,40.7594566345,1,39.5,0.58,1,1.0,6.92,2015-09-10
484867,2015-09-11 00:31:34,2015-09-11 00:31:34,3,-73.9343948364,40.7559204102,5,50.0,3.0,1,1.0,8.84,2015-09-11
550833,2015-09-12 02:58:22,2015-09-12 02:58:28,3,-73.918800354,40.7589111328,3,20.0,2.0,1,1.0,0.0,2015-09-12
562682,2015-09-12 10:25:04,2015-09-12 11:17:17,3,-73.943321228,40.7475242615,1,58.5,1.0,1,1.0,11.14,2015-09-12
591130,2015-09-12 19:10:17,2015-09-12 19:39:54,3,-73.9383468628,40.850692749,1,77.0,3.0,1,1.0,22.8,2015-09-12
626425,2015-09-13 08:27:32,2015-09-13 08:54:31,3,-73.959312439,40.8201522827,1,81.5,2.0,1,1.0,24.7,2015-09-13
782454,2015-09-16 20:22:16,2015-09-16 20:54:16,3,-73.9282302856,40.631980896,1,41.0,4.18,1,1.0,5.17,2015-09-16
808440,2015-09-17 12:12:39,2015-09-17 12:51:51,3,-73.9624938965,40.8048820496,1,74.5,3.0,1,1.0,20.63,2015-09-17
816352,2015-09-17 15:17:48,2015-09-17 15:59:02,3,-73.9651184082,40.8067054749,1,79.5,2.0,1,1.0,22.9,2015-09-17
981931,2015-09-20 04:10:06,2015-09-20 04:23:58,3,-73.9387893677,40.7497215271,1,35.5,0.06,1,1.0,5.55,2015-09-20
986388,2015-09-20 07:20:34,2015-09-20 07:33:39,3,-73.9484100342,40.8290138245,1,41.0,4.0,1,1.0,8.3,2015-09-20
1037612,2015-09-21 10:32:09,2015-09-21 11:36:57,3,-74.0145797729,40.6818733215,1,74.5,0.1,1,1.0,17.17,2015-09-21
1092031,2015-09-22 17:49:15,2015-09-22 18:28:32,3,-73.9611816406,40.7072143555,0,44.0,2.27,1,1.0,5.2,2015-09-22
1094896,2015-09-22 18:51:08,2015-09-22 18:51:16,3,-73.9346618652,40.6692962646,1,20.0,4.25,1,1.0,5.2,2015-09-22
1121784,2015-09-23 12:15:38,2015-09-23 12:37:40,3,-73.9120101929,40.6783103943,1,34.0,3.43,1,1.0,3.5,2015-09-23
1121802,2015-09-23 12:13:19,2015-09-23 12:14:43,3,-73.9119644165,40.6783676147,1,20.5,4.16,1,1.0,0.0,2015-09-23
1153665,2015-09-24 07:32:17,2015-09-24 07:32:20,3,-73.9383468628,40.8046989441,1,20.0,1.0,1,1.0,0.09,2015-09-24
1166084,2015-09-24 14:46:43,2015-09-24 14:46:54,3,-73.8385620117,40.8526878357,1,20.0,1.22,1,1.0,0.0,2015-09-24
1282804,2015-09-26 17:46:29,2015-09-26 18:17:19,3,-73.9196166992,40.8428611755,1,62.5,0.07,1,1.0,16.1,2015-09-26
1311955,2015-09-27 00:13:35,2015-09-27 00:13:46,3,-73.8916015625,40.6663284302,1,20.0,1.0,1,1.0,5.5,2015-09-27
1328828,2015-09-27 09:30:11,2015-09-27 09:59:23,3,-73.9671707153,40.6835594177,1,62.0,3.0,1,1.0,15.9,2015-09-27
1392131,2015-09-28 18:09:49,2015-09-28 18:56:48,3,-73.9775314331,40.6736068726,1,79.5,3.0,1,1.0,22.01,2015-09-28
1393523,2015-09-28 18:25:53,2015-09-28 20:40:24,3,-73.9641494751,40.6958885193,2,105.5,1.0,1,1.0,16.0,2015-09-28
1432670,2015-09-29 17:03:14,2015-09-29 17:03:23,3,-73.9387435913,40.6853523254,1,20.0,4.25,1,1.0,0.1,2015-09-29
1492228,2015-09-30 22:59:56,2015-09-30 23:00:01,3,-73.8590698242,40.8348426819,1,20.0,0.02,1,1.0,0.0,2015-09-30
